['279', '123', '165', '62', '142', '162', '150', '274', '26', '187', '31', '103', '43', '33', '194']
['27', '143', '207', '82', '146', '157', '229', '14', '248', '138', '215', '245', '227', '78', '76']
['7', '48', '1', '233', '172', '178', '68', '120', '238', '32', '163', '84', '243', '242', '29']
['258', '20', '249', '174', '4', '151', '225', '293', '30', '61', '298', '51', '283', '221', '210']
['176', '220', '11', '180', '63', '54', '257', '181', '126', '193', '252', '108', '167', '183', '270']
['57', '109', '255', '184', '89', '234', '60', '214', '177', '94', '129', '158', '96', '237', '118']
['211', '75', '277', '133', '244', '140', '83', '72', '155', '266', '269', '169', '127', '116', '56']
['296', '170', '124', '137', '86', '50', '230', '192', '69', '35', '295', '203', '55', '38', '74']
['141', '66', '40', '81', '256', '131', '289', '196', '239', '21', '278', '208', '77', '144', '161']
['17', '16', '44', '23', '156', '134', '291', '45', '179', '231', '241', '91', '160', '37', '46']
['168', '80', '290', '202', '197', '217', '111', '130', '219', '15', '260', '119', '67', '201', '147']
['261', '265', '171', '212', '222', '153', '117', '121', '275', '28', '98', '47', '100', '213', '41']
['90', '185', '276', '59', '70', '300', '101', '18', '25', '135', '92', '5', '288', '281', '8']
['186', '3', '223', '53', '159', '267', '95', '287', '182', '113', '154', '273', '224', '110', '246']
['24', '280', '189', '9', '271', '286', '205', '284', '216', '152', '254', '285', '198', '236', '12']
['264', '36', '102', '209', '112', '164', '292', '2', '13', '294', '132', '191', '115', '299', '232']
['195', '199', '97', '259', '87', '71', '122', '253', '139', '297', '175', '93', '235', '106', '107']
['218', '136', '250', '42', '226', '125', '240', '148', '99', '173', '188', '190', '88', '19', '166']
['22', '272', '204', '85', '128', '10', '39', '79', '282', '268', '73', '247', '263', '262', '34']
['114', '105', '251', '65', '52', '64', '228', '206', '58', '145', '6', '104', '200', '49', '149']
